snapshot_time,queue_name,wip_count,throughput_15m,throughput_30m,throughput_60m,utilization_rate,time_pressure,complexity_backlog,sla_hours,hour_of_day,day_of_week,is_weekend,breach_label
2026-04-26T15:00:00,Document Review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,6.0,1.0,0
2026-04-26T15:00:00,Compliance Check,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,6.0,1.0,0
2026-04-26T15:00:00,Payment Processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,6.0,1.0,0
2026-04-26T15:00:00,Customer Onboarding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,6.0,1.0,0
2026-04-26T15:00:00,Risk Assessment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,6.0,1.0,0
2026-04-26T15:00:00,Audit Preparation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,15.0,6.0,1.0,0
2026-04-26T15:05:00,Document Review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,6.0,1.0,0
2026-04-26T15:05:00,Compliance Check,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,6.0,1.0,0
2026-04-26T15:05:00,Payment Processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,6.0,1.0,0
2026-04-26T15:05:00,Customer Onboarding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,6.0,1.0,0
2026-04-26T15:05:00,Risk Assessment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,6.0,1.0,0
2026-04-26T15:05:00,Audit Preparation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,15.0,6.0,1.0,0
2026-04-26T15:10:00,Document Review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,6.0,1.0,0
2026-04-26T15:10:00,Compliance Check,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,6.0,1.0,0
2026-04-26T15:10:00,Payment Processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,6.0,1.0,0
2026-04-26T15:10:00,Customer Onboarding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,6.0,1.0,0
2026-04-26T15:10:00,Risk Assessment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,6.0,1.0,0
2026-04-26T15:10:00,Audit Preparation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,15.0,6.0,1.0,0
2026-04-26T15:15:00,Document Review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,6.0,1.0,0
2026-04-26T15:15:00,Compliance Check,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,6.0,1.0,0
2026-04-26T15:15:00,Payment Processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,6.0,1.0,0
2026-04-26T15:15:00,Customer Onboarding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,6.0,1.0,0
2026-04-26T15:15:00,Risk Assessment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,6.0,1.0,0
2026-04-26T15:15:00,Audit Preparation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,15.0,6.0,1.0,0
2026-04-26T15:20:00,Document Review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,6.0,1.0,0
2026-04-26T15:20:00,Compliance Check,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,6.0,1.0,0
2026-04-26T15:20:00,Payment Processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,6.0,1.0,0
2026-04-26T15:20:00,Customer Onboarding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,6.0,1.0,0
2026-04-26T15:20:00,Risk Assessment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,6.0,1.0,0
2026-04-26T15:20:00,Audit Preparation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,15.0,6.0,1.0,0
2026-04-26T15:25:00,Document Review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,6.0,1.0,0
2026-04-26T15:25:00,Compliance Check,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,6.0,1.0,0
2026-04-26T15:25:00,Payment Processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,6.0,1.0,0
2026-04-26T15:25:00,Customer Onboarding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,6.0,1.0,0
2026-04-26T15:25:00,Risk Assessment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,6.0,1.0,0
2026-04-26T15:25:00,Audit Preparation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,15.0,6.0,1.0,0
2026-04-26T15:30:00,Document Review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,6.0,1.0,0
2026-04-26T15:30:00,Compliance Check,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,6.0,1.0,0
2026-04-26T15:30:00,Payment Processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,6.0,1.0,0
2026-04-26T15:30:00,Customer Onboarding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,6.0,1.0,0
2026-04-26T15:30:00,Risk Assessment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,6.0,1.0,0
2026-04-26T15:30:00,Audit Preparation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,15.0,6.0,1.0,0
2026-04-26T15:35:00,Document Review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,6.0,1.0,0
